اللـــه,ven1
الرحمــن,ven1
الرحيــم,ven1
الملــك,ven2
القــدوس,ven2
الســلام,ven2
المؤمــن,ven3
المهيمــن,ven3
العزيــز,ven3
الجبـــار,ven4
المتكبـــر,ven4
الخالـــق,ven4
البـــارئ,ven5
المصـــور,ven5
الغفـــار,ven5
القهـــار,sam1
الوهـــاب,sam1
الـــرزاق,sam1
الفتـــاح,sam2
العليـــم,sam2
القابـــض,sam2
الباســـط,sam3
الخافـــض,sam3
الرافـــع,sam3
المعـــز,sam4
المـــذل,sam4
السميـــع,sam4
البصيـــر,sam5
الحكم,sam5
العدل,sam5
اللطيف,dim1
الخبير,dim1
الحليـــم,dim1
العظيـــم,dim2
الغفـــور,dim2
الشكـــور,dim2
العلـــي,dim3
الكبيـــر,dim3
الحفيـــظ,dim3
المقيـــت,dim4
الحسيـــب,dim4
الجليـــل,dim4
الكريـــم,dim5
الرقيـــب,dim5
المجيـــب,dim5
الواســـع,lun1
الحكيـــم,lun1
الـودود,lun1
المجيـــد,lun2
الباعـــث,lun2
الشهيـــد,lun2
الحـــق,lun3
الوكيـــل,lun3
القـــوي,lun3
المتيـــن,lun4
الولـــي,lun4
الحميـــد,lun4
المحصـــي,lun5
المبدئ,lun5
لمعيـــد,lun5
المحيي,tue1
المميت,tue1
الحـي,tue1
القيوم,tue2
الواجد,tue2
الماجد,tue2
الواحد,tue3
الأحد,tue3
الصمد,tue3
القـــادر,tue3
المقتـــدر,tue4
المقـــدم,tue4
المؤخـــر,tue4
الاول,tue5
الآخـــر,tue5
الظاهـــر,tue5
الباطـــن,mer1
الوالـــي,mer1
المتعـــال,mer1
البـــر,mer2
التـــواب,mer2
المنتقـــم,mer2
العفـــو,mer3
الرؤوف,mer3
مــالك الملـك,mer3
ذوالجلال والأكرام,mer4
المقســـط,mer4
الجامـــع,mer4
الغنـــي,mer5
المغنـي,mer5
المانــع,mer5
الضــار,jeud1
النافــع,jeud1
النــور,jeud1
الهــادي,jeud2
البديــع,jeud2
الباقــي,jeud2
الوارث,jeud3
الرشيــد,jeud3
الصبـــور,jeud3
